  TRADE LOG — 3x 15% max5
================================================================================
          Date       Symbol               Signal   Alloc$     PnL%      PnL$     Equity
    2024-06-04      BNBUSDT        overextension $    199    -9.1%      -18$ $    1,309
    2024-06-10      BNBUSDT       vol_divergence $    196    -6.9%      -14$ $    1,296
    2024-06-16      UNIUSDT    liq_short_squeeze $    194   -24.0%      -47$ $    1,249
    2024-06-16      UNIUSDT         distribution $    194   +15.0%      +29$ $    1,278
    2024-07-15      BNBUSDT    liq_short_squeeze $    192   -24.0%      -46$ $    1,232
    2024-08-05      ETHUSDT       vol_divergence $    185    +0.0%       +0$ $    1,232
    2024-08-05      XRPUSDT       vol_divergence $    185   +70.0%     +129$ $    1,361
    2024-08-05      TRXUSDT       vol_divergence $    185   +17.3%      +32$ $    1,393
    2024-08-16     AAVEUSDT    liq_short_squeeze $    209    +3.8%       +8$ $    1,401
    2024-08-23      ETHUSDT    liq_short_squeeze $    210    +0.2%       +0$ $    1,402
    2024-08-25      TONUSDT       div_squeeze_3d $    210    +0.7%       +1$ $    1,403
    2024-08-23     AAVEUSDT    liq_short_squeeze $    210   -24.0%      -50$ $    1,353
    2024-09-07      SUIUSDT    liq_short_squeeze $    203   +16.0%      +33$ $    1,385
    2024-09-19     AAVEUSDT    liq_short_squeeze $    208    +2.1%       +4$ $    1,390
    2024-09-23     AAVEUSDT    liq_short_squeeze $    208    -4.0%       -8$ $    1,381
    2024-09-18      TIAUSDT        fund_reversal $    208   +39.9%      +83$ $    1,464
    2024-09-27     DOGEUSDT    liq_short_squeeze $    207   -24.0%      -50$ $    1,414
    2024-10-04      APTUSDT    liq_short_squeeze $    212    -3.2%       -7$ $    1,408
    2024-09-15      SUIUSDT    liq_short_squeeze $    208  +243.4%     +506$ $    1,914
    2024-09-19      SUIUSDT    liq_short_squeeze $    208  +125.0%     +260$ $    2,173
    2024-09-22      SUIUSDT    liq_short_squeeze $    208   +70.0%     +146$ $    2,319
    2024-10-04      SUIUSDT    liq_short_squeeze $    212   +30.8%      +65$ $    2,385
    2024-10-13      SUIUSDT    liq_short_squeeze $    358    -8.6%      -31$ $    2,354
    2024-10-14      SUIUSDT         distribution $    353   +15.0%      +53$ $    2,407
    2024-10-26      SUIUSDT           div_top_1d $    361   -24.0%      -87$ $    2,320
    2024-10-29      BTCUSDT    liq_short_squeeze $    348   -24.0%      -84$ $    2,237
    2024-11-05     DOGEUSDT    liq_short_squeeze $    336   +44.1%     +148$ $    2,385
    2024-11-09     DOGEUSDT         distribution $    358    -9.0%      -32$ $    2,352
    2024-11-07     AAVEUSDT    liq_short_squeeze $    336   +15.9%      +53$ $    2,406
    2024-11-09      ETHUSDT    liq_short_squeeze $    358   +20.5%      +73$ $    2,479
    2024-11-10      SOLUSDT    liq_short_squeeze $    353   +15.1%      +53$ $    2,532
    2024-11-11      SUIUSDT    liq_short_squeeze $    353    -9.9%      -35$ $    2,497
    2024-11-11      ADAUSDT    liq_short_squeeze $    353    -9.8%      -34$ $    2,463
    2024-11-12      SUIUSDT         distribution $    369   +15.0%      +55$ $    2,518
    2024-11-12      XRPUSDT           fund_spike $    369    +2.7%      +10$ $    2,528
    2024-11-12   RENDERUSDT           fund_spike $    369    +1.5%       +5$ $    2,534
    2024-11-12      SOLUSDT           fund_spike $    369    +0.0%       +0$ $    2,534
    2024-11-12      ADAUSDT           fund_spike $    369    +0.0%       +0$ $    2,534
    2024-11-13     DOGEUSDT    liq_short_squeeze $    380    -9.4%      -36$ $    2,498
    2024-11-14     DOGEUSDT         distribution $    375    -9.0%      -34$ $    2,464
    2024-11-16      SUIUSDT    liq_short_squeeze $    370    +9.5%      +35$ $    2,499
    2024-11-17     DOGEUSDT     oi_buildup_stall $    370    -8.0%      -30$ $    2,470
    2024-11-19     DOGEUSDT    liq_short_squeeze $    370   -11.1%      -41$ $    2,429
    2024-11-23      ADAUSDT    liq_short_squeeze $    364   -24.0%      -87$ $    2,341
    2024-11-23     DOGEUSDT           fund_spike $    364    +0.0%       +0$ $    2,341
    2024-11-24      XRPUSDT         distribution $    351   +15.0%      +53$ $    2,394
    2024-11-24      DOTUSDT    liq_short_squeeze $    351   -24.0%      -84$ $    2,309
    2024-11-26      BNBUSDT             overheat $    346    -9.9%      -34$ $    2,275
    2024-11-16      ADAUSDT    liq_short_squeeze $    370  +107.0%     +395$ $    2,671
    2024-11-27      XRPUSDT         distribution $    341    -9.0%      -31$ $    2,640
    2024-11-28   RENDERUSDT           fund_spike $    396    +0.0%       +0$ $    2,640
    2024-11-27      ETHUSDT        overextension $    341    +0.2%       +1$ $    2,641
    2024-11-29      UNIUSDT         distribution $    396    -9.0%      -36$ $    2,605
    2024-12-01      SUIUSDT             overheat $    391   +13.7%      +54$ $    2,659
    2024-12-02      ADAUSDT           fund_spike $    399   -21.6%      -86$ $    2,573
    2024-11-23      SUIUSDT       div_squeeze_3d $    364   -24.0%      -87$ $    2,485
    2024-12-02      FILUSDT    liq_short_squeeze $    399   -24.0%      -96$ $    2,389
    2024-12-02      SOLUSDT             overheat $    399    +1.6%       +6$ $    2,396
    2024-12-03      BNBUSDT           fund_spike $    359   -12.8%      -46$ $    2,350
    2024-12-03      TRXUSDT           fund_spike $    359   +14.1%      +51$ $    2,401
    2024-12-03     LINKUSDT           fund_spike $    359    +0.0%       +0$ $    2,401
    2024-12-03      APTUSDT           fund_spike $    359    +0.0%       +0$ $    2,401
    2024-12-04      UNIUSDT           fund_spike $    360    +0.0%       +0$ $    2,401
    2024-12-04     AAVEUSDT           fund_spike $    360    +0.0%       +0$ $    2,401
    2024-12-05      ADAUSDT           fund_spike $    360   -16.2%      -58$ $    2,342
    2024-12-05      BTCUSDT             overheat $    360   -10.7%      -39$ $    2,304
    2024-12-05      SOLUSDT             overheat $    360    +0.0%       +0$ $    2,304
    2024-12-05      LTCUSDT           fund_spike $    360    +0.0%       +0$ $    2,304
